timestamp,date,time,lat,lon,azimuth_deg,zenith_deg,elevation_deg,weather_multiplier,pv_factor_raw,pv_factor,pv_capacity_kw,pv_power_kw
2026-01-01 03:30:00,2026-01-01,03:30:00,9.0765,7.3986,111.5187760265708,121.94767658166901,-31.947676581669015,1.0,0.0,0.0,2.0,0.0
2026-01-01 03:45:00,2026-01-01,03:45:00,9.0765,7.3986,111.3215499075264,118.50143089566329,-28.50143089566329,1.0,0.0,0.0,2.0,0.0
2026-01-01 04:00:00,2026-01-01,04:00:00,9.0765,7.3986,111.23411357463857,115.0518297668118,-25.051829766811807,1.0,0.0,0.0,2.0,0.0
2026-01-01 04:15:00,2026-01-01,04:15:00,9.0765,7.3986,111.24632428620544,111.60133421942481,-21.601334219424814,1.0,0.0,0.0,2.0,0.0
2026-01-01 04:30:00,2026-01-01,04:30:00,9.0765,7.3986,111.35076820173411,108.15218789537884,-18.152187895378844,1.0,0.0,0.0,2.0,0.0
2026-01-01 04:45:00,2026-01-01,04:45:00,9.0765,7.3986,111.54227085881851,104.7065040688808,-14.706504068880804,1.0,0.0,0.0,2.0,0.0
2026-01-01 05:00:00,2026-01-01,05:00:00,9.0765,7.3986,111.81755129004011,101.26633729016781,-11.266337290167812,1.0,0.0,0.0,2.0,0.0
2026-01-01 05:15:00,2026-01-01,05:15:00,9.0765,7.3986,112.17498384048817,97.83374558567183,-7.833745585671835,1.0,0.0,0.0,2.0,0.0
2026-01-01 05:30:00,2026-01-01,05:30:00,9.0765,7.3986,112.61444340781428,94.41084766883907,-4.410847668839068,1.0,0.0,0.0,2.0,0.0
2026-01-01 05:45:00,2026-01-01,05:45:00,9.0765,7.3986,113.13721790245391,90.9998787348263,-0.9998787348262965,1.0,0.0,0.0,2.0,0.0
2026-01-01 06:00:00,2026-01-01,06:00:00,9.0765,7.3986,113.74597745142357,87.60324794462078,2.396752055379224,1.0,0.041819016058809715,0.041819016058809715,2.0,0.08363803211761943
2026-01-01 06:15:00,2026-01-01,06:15:00,9.0765,7.3986,114.44479403850542,84.22360053861739,5.77639946138261,1.0,0.10064649018983587,0.10064649018983587,2.0,0.20129298037967175
2026-01-01 06:30:00,2026-01-01,06:30:00,9.0765,7.3986,115.23920838115885,80.86388759780642,9.136112402193575,1.0,0.1587803832880593,0.1587803832880593,2.0,0.3175607665761186
2026-01-01 06:45:00,2026-01-01,06:45:00,9.0765,7.3986,116.13634317070559,77.52744676718065,12.472553232819351,1.0,0.21597190774256927,0.21597190774256927,2.0,0.43194381548513855
2026-01-01 07:00:00,2026-01-01,07:00:00,9.0765,7.3986,117.1450634626535,74.2180977572778,15.781902242722197,1.0,0.2719763020416109,0.2719763020416109,2.0,0.5439526040832218
2026-01-01 07:15:00,2026-01-01,07:15:00,9.0765,7.3986,118.2761859349775,70.94025714541938,19.05974285458062,1.0,0.3265538785099007,0.3265538785099007,2.0,0.6531077570198014
2026-01-01 07:30:00,2026-01-01,07:30:00,9.0765,7.3986,119.54273864409164,67.69907790676234,22.30092209323766,1.0,0.37947104940076243,0.37947104940076243,2.0,0.7589420988015249
2026-01-01 07:45:00,2026-01-01,07:45:00,9.0765,7.3986,120.96027119748615,64.50062018598022,25.499379814019775,1.0,0.43050132694061755,0.43050132694061755,2.0,0.8610026538812351
